Page,ResponseTime,Time,Error,Status,Error Screenshot File Location,Bandwidth
Home Page,18.02,15:22: 54 ,null,PASS,,,
Investor Login Page,3.14,15:23: 4 ,null,PASS,,,
ABC Dashboard Page,15.95,15:23: 27 ,null,PASS,,,
Investor Account Statement Main Page,0.53,15:23: 30 ,null,PASS,,,
Investors Account Statement Download Page,0.46,15:23: 51 ,null,PASS,,,
Home Page,5.65,15:24: 50 ,null,PASS,,,
Investor Login Page,4.54,15:24: 58 ,null,PASS,,,
ABC Dashboard Page,16.82,15:25: 21 ,null,PASS,,,
Investor Account Statement Main Page,0.43,15:25: 24 ,null,PASS,,,
Investors Account Statement Download Page,0.45,15:25: 49 ,null,PASS,,,
AMC Dashboard Page,10.83,15:26: 18 ,null,PASS,,,
Investors Transactions Summary Page,1.18,15:26: 20 ,null,PASS,,,
Investors Transactions Summary Search Result Page,1.27,15:26: 59 ,null,PASS,,,
Transact Landing Page,0.63,15:27: 5 ,null,PASS,,,
Investors Purchase Page,0.85,15:27: 9 ,null,PASS,,,
Transact Landing Page 1,0.64,15:27: 11 ,null,PASS,,,
Investor SIP Registration Page,0.53,15:27: 15 ,null,PASS,,,
Transact Landing Page 2,0.63,15:27: 17 ,null,PASS,,,
Investor Switch Request Page,4.58,15:27: 24 ,null,PASS,,,
Transact Landing Page 3,0.99,15:27: 29 ,null,PASS,,,
Investor Redeem Request Page,0.90,15:27: 33 ,null,PASS,,,
Logout Page,3.04,15:27: 50 ,null,PASS,,,
